Date,Trap,Bees,Diptera,Coleoptera,Hemiptera,Lepidoptera,Ants,Wasps,Spiders,Neuroptera,Orthoptera
5/12/2016,Blue vane,0,3,0,0,0,0,0,0,0,0
5/12/2016,Bowls,0,10,0,0,0,0,0,0,0,0
5/12/2016,Non-Target,0,0,0,0,0,0,0,0,0,0
5/12/2016,Emergence,0,0,0,0,0,0,0,0,0,0
5/22/2016,Blue vane,4,0,0,0,0,0,0,0,0,0
5/22/2016,Bowls,31,8,0,0,0,0,0,0,0,0
5/22/2016,Non-Target,4,0,0,0,0,0,0,0,0,0
5/22/2016,Emergence,3,3,4,0,0,0,0,0,0,1
6/21/2016,Blue vane,8,16,0,3,0,0,0,1,0,0
6/21/2016,Bowls,21,55,0,0,1,0,2,0,0,1
6/21/2016,Non-Target,7,0,0,0,0,0,0,0,0,0
6/21/2016,Emergence,0,23,31,11,0,9,2,3,0,228
7/26/2016,Blue vane,12,16,0,0,1,0,0,0,0,0
7/26/2016,Bowls,22,23,0,0,0,0,5,0,0,0
7/26/2016,Non-Target,21,0,0,0,0,0,0,0,0,0
7/26/2016,Emergence,2,114,15,29,15,258,15,2,0,57
8/18/2016,Blue vane,11,18,1,0,0,0,0,0,0,0
8/18/2016,Bowls,11,28,3,0,0,2,0,0,0,0
8/18/2016,Non-Target,32,0,0,0,0,0,0,0,0,0
8/18/2016,Emergence,10,147,4,5,7,19,17,0,0,3
,Total,199,464,58,48,24,288,41,6,0,290
